,name,company,year,fuel_type,kms_driven,Price
35,Toyota Innova 2.0 G 8 STR BS IV,Toyota,2012,Diesel,82000,650000.0
36,Renault Lodgy 85 PS RXL,Renault,2018,Diesel,20000,689999.0
37,Skoda Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012,Diesel,68000,448000.0
38,Maruti Suzuki Baleno Delta 1.2,Maruti,2017,Diesel,32000,549000.0
39,Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,Diesel,38000,501000.0
40,Renault Duster 85 PS RxE Diesel,Renault,2013,Diesel,27000,489999.0
41,Honda City 1.5 S MT,Honda,2011,Petrol,33000,280000.0
42,Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,Petrol,60000,250000.0
43,Maruti Suzuki Dzire,Maruti,2013,Diesel,46000,349999.0
44,Honda Amaze,Honda,2013,Diesel,46000,284999.0
45,Honda Amaze 1.5 SX i DTEC,Honda,2015,Diesel,36000,345000.0
46,Honda City,Honda,2015,Petrol,55000,499999.0
47,Datsun Redi GO S,Datsun,2017,Petrol,16000,235000.0
48,Maruti Suzuki SX4 ZXI MT,Maruti,2010,Petrol,36000,249999.0
49,Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,Diesel,47000,1475000.0
50,Mahindra Bolero DI,Mahindra,2017,Diesel,23452,180000.0
51,Maruti Suzuki Swift Dzire ZDi,Maruti,2014,Diesel,35522,385000.0
52,Mahindra Scorpio S10 4WD,Mahindra,2015,Diesel,48508,250000.0
53,Maruti Suzuki Swift Vdi BSIII,Maruti,2017,Petrol,15487,180000.0
54,Maruti Suzuki Wagon R VXi BS III,Maruti,2013,Petrol,39000,105000.0
55,Maruti Suzuki Wagon R VXi Minor,Maruti,2013,Petrol,39000,105000.0
56,Mahindra Scorpio S10,Mahindra,2015,Diesel,35000,395000.0
57,Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017,Petrol,30874,220000.0
58,Honda City ZX CVT,Honda,2017,Diesel,15000,170000.0
59,Maruti Suzuki Wagon R LX BS IV,Maruti,2013,Petrol,29685,85000.0
60,Ford Figo,Ford,2012,Diesel,41000,175000.0
61,Hyundai Eon,Hyundai,2013,Petrol,25000,190000.0
62,Tata Indigo eCS LS CR4 BS IV,Tata,2017,Diesel,130000,200000.0
63,Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,Diesel,24530,830000.0
64,Tata Indigo eCS LS CR4 BS IV,Tata,2017,Diesel,130000,200000.0
65,Mahindra Scorpio SLE BS IV,Mahindra,2012,Diesel,19000,570000.0
66,Volkswagen Polo Highline Exquisite P,Volkswagen,2014,Petrol,60000,315000.0
67,Skoda Fabia Classic 1.2 MPI,Skoda,2010,Petrol,60000,182000.0
68,Maruti Suzuki Stingray VXi,Maruti,2015,Petrol,30000,315000.0
70,Chevrolet Spark LS 1.0,Chevrolet,2010,Petrol,41000,110000.0
71,Renault Duster 110PS Diesel RxZ,Renault,2012,Diesel,35000,501000.0
72,Honda City,Honda,2015,Petrol,54000,448999.0
73,Mini Cooper S 1.6,Mini,2013,Petrol,13000,1891111.0
74,Datsun Redi GO S,Datsun,2017,Petrol,16000,235000.0
75,Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,Diesel,38200,159500.0
76,Honda Amaze,Honda,2015,Petrol,22000,344999.0
77,Honda Amaze,Honda,2015,Petrol,22000,344999.0
78,Renault Duster,Renault,2014,Diesel,50000,449999.0
79,Mini Cooper S 1.6,Mini,2013,Petrol,13500,1891111.0
80,Mahindra Scorpio S4,Mahindra,2015,Diesel,30000,865000.0
81,Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,Diesel,50000,699000.0
82,Mahindra Quanto C8,Mahindra,2013,Diesel,20000,375000.0
83,Ford EcoSport,Ford,2017,Petrol,39000,489999.0
84,Honda Brio,Honda,2012,Petrol,30000,224999.0
86,Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019,Diesel,3600,1200000.0
87,Hyundai i20 Magna,Hyundai,2009,Petrol,32000,195000.0
88,Toyota Corolla Altis Diesel D4DG,Toyota,2010,Diesel,38000,351000.0
89,Hyundai Verna Transform SX VTVT,Hyundai,2008,Petrol,45000,160000.0
90,Toyota Corolla Altis Petrol Ltd,Toyota,2009,Petrol,35000,240000.0
91,Honda City 1.5 EXi New,Honda,2005,Petrol,50000,90000.0
92,Hyundai Elite i20 Magna 1.2,Hyundai,2014,Petrol,32000,415000.0
93,Skoda Fabia 1.2L Diesel Elegance,Skoda,2011,Diesel,45863,155000.0
94,BMW 3 Series 320i,BMW,2011,Petrol,60500,600000.0
95,Maruti Suzuki A Star Lxi,Maruti,2011,Petrol,12500,189500.0
96,Toyota Etios GD,Toyota,2013,Diesel,60000,350000.0
97,Ford Figo Diesel EXI Option,Ford,2012,Diesel,35000,210000.0
98,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014,Petrol,35000,390000.0
99,Chevrolet Beat LT Diesel,Chevrolet,2012,Diesel,45000,135000.0
100,BMW 7 Series 740Li Sedan,BMW,2009,Petrol,35000,1600000.0
101,Mahindra XUV500 W8 AWD 2013,Mahindra,2013,Diesel,38000,701000.0
102,Hyundai i10 Magna 1.2,Hyundai,2014,Petrol,18000,265000.0
103,Hyundai Verna Fluidic New,Hyundai,2015,Diesel,35000,525000.0
104,Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,Petrol,13349,372000.0
105,Maruti Suzuki Ertiga ZXI Plus,Maruti,2016,Petrol,29000,635000.0
106,Ford EcoSport Titanium 1.5L TDCi,Ford,2014,Diesel,44000,550000.0
107,Maruti Suzuki Ertiga Vxi,Maruti,2016,Petrol,29000,575000.0
108,Maruti Suzuki Ertiga VDi,Maruti,2013,Diesel,42000,485000.0
109,Maruti Suzuki Alto LXi BS III,Maruti,2012,Petrol,14000,155000.0
110,Hyundai Grand i10 Asta 1.1 CRDi,Hyundai,2014,Diesel,49000,345000.0
111,Honda Amaze 1.2 S i VTEC,Honda,2014,Petrol,42000,325000.0
112,Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,Diesel,36200,329500.0
113,Ford Figo Diesel EXI,Ford,2014,Diesel,50000,195000.0
114,Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,Petrol,55000,251111.0
115,Maruti Suzuki Ertiga ZXi,Maruti,2014,Petrol,45000,569999.0
116,Maruti Suzuki Esteem LXi BS III,Maruti,2007,Petrol,51000,69999.0
117,Maruti Suzuki Ritz VXI,Maruti,2014,Petrol,19000,299999.0
118,Maruti Suzuki Dzire,Maruti,2009,Petrol,46000,220000.0
119,Maruti Suzuki Ritz LDi,Maruti,2013,Diesel,33000,399999.0
120,Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,Petrol,13349,372000.0
121,Maruti Suzuki Dzire VDI,Maruti,2015,Diesel,104000,450000.0
122,Toyota Etios Liva G,Toyota,2014,Petrol,55000,270000.0
123,Hyundai i20 Sportz 1.4 CRDI,Hyundai,2011,Diesel,33333,350000.0
124,Chevrolet Spark,Chevrolet,2012,Petrol,33600,158400.0
125,Maruti Suzuki Alto K10 VXi AMT,Maruti,2017,Petrol,5600,350000.0
126,Nissan Micra XV,Nissan,2011,Petrol,41000,179000.0
127,Maruti Suzuki Swift,Maruti,2007,Petrol,70000,125000.0
128,Maruti Suzuki Alto 800,Maruti,2018,Petrol,7500,200000.0
129,Honda Amaze 1.5 S i DTEC,Honda,2013,Diesel,45000,299000.0
130,Maruti Suzuki Alto 800 Vxi,Maruti,2015,Petrol,38000,220000.0
131,Chevrolet Beat,Chevrolet,2015,Petrol,30000,150000.0
132,Toyota Corolla,Toyota,2009,Petrol,26000,275000.0
133,Honda City 1.5 V MT,Honda,2010,Petrol,35000,285000.0
134,Ford EcoSport Trend 1.5L TDCi,Ford,2016,Diesel,24330,830000.0
135,Hyundai i20 Asta 1.2,Hyundai,2009,Petrol,65480,210000.0
136,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013,Petrol,41000,340000.0
137,Tata Indica V2 eLS,Tata,2006,Petrol,20000,90000.0
138,Maruti Suzuki Alto 800 Lxi,Maruti,2018,Petrol,28028,257857.142857
139,Hindustan Motors Ambassador,Hindustan,2000,Diesel,200000,70000.0
140,Toyota Corolla Altis 1.8 GL,Toyota,2010,Petrol,70000,289999.0
141,Toyota Corolla Altis 1.8 J,Toyota,2012,Petrol,59000,349999.0
142,Toyota Innova 2.5 GX BS IV 7 STR,Toyota,2012,Diesel,99000,849999.0
143,Volkswagen Jetta Highline TDI AT,Volkswagen,2014,Diesel,46000,749999.0
144,Volkswagen Polo Comfortline 1.2L P,Volkswagen,2015,Petrol,2800,399999.0
145,Volkswagen Polo,Volkswagen,2014,Petrol,32000,274999.0
146,Mahindra Scorpio,Mahindra,2015,Diesel,22000,984999.0
147,Renault Duster,Renault,2014,Diesel,50000,449999.0
148,Honda Amaze,Honda,2015,Petrol,22000,344999.0
149,Nissan Sunny,Nissan,2012,Petrol,45000,224999.0
150,Hyundai Elite i20,Hyundai,2018,Petrol,21000,599999.0
151,Renault Kwid,Renault,2016,Petrol,11000,244999.0
152,Renault Duster,Renault,2013,Diesel,41000,399999.0
153,Ford EcoSport,Ford,2017,Petrol,39000,489999.0
154,Renault Duster,Renault,2014,Diesel,50000,474999.0
155,Mahindra Scorpio VLX Airbag,Mahindra,2011,Diesel,66000,499999.0
156,Maruti Suzuki Alto 800 Lxi,Maruti,2018,Petrol,3000,310000.0
157,Chevrolet Spark LT 1.0,Chevrolet,2010,Petrol,45000,85000.0
158,Datsun Redi GO T O,Datsun,2016,Petrol,7000,245000.0
159,Maruti Suzuki Swift RS VDI,Maruti,2010,Diesel,38500,189500.0
160,Fiat Punto Emotion 1.2,Fiat,2012,Diesel,37200,169500.0
161,Maruti Suzuki Swift RS VDI,Maruti,2010,Diesel,43200,159500.0
162,Toyota Etios GD,Toyota,2013,Petrol,24800,275000.0
163,Hyundai i20 Sportz 1.4 CRDI,Hyundai,2014,Diesel,60000,370000.0
164,Hyundai i10 Sportz 1.2,Hyundai,2010,Petrol,45872,168000.0
165,Chevrolet Beat LT Opt Diesel,Chevrolet,2011,Diesel,40000,150000.0
166,Chevrolet Beat LS Diesel,Chevrolet,2011,Diesel,45000,145000.0
167,Chevrolet Beat LT Diesel,Chevrolet,2012,Diesel,38000,98500.0
168,Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,Diesel,50000,699000.0
169,Tata Indigo CS,Tata,2011,Diesel,11400,85000.0
170,Toyota Corolla Altis 1.8 J,Toyota,2015,Petrol,42000,575000.0
171,Honda City 1.5 V MT,Honda,2014,Petrol,39000,549000.0
172,Maruti Suzuki Swift VDi,Maruti,2011,Diesel,47000,209000.0
173,Hyundai Eon Era Plus,Hyundai,2013,Petrol,27000,185000.0
174,Mahindra Scorpio S10,Mahindra,2015,Diesel,97200,900000.0
175,Mahindra XUV500,Mahindra,2014,Diesel,52000,699999.0
176,Honda Brio,Honda,2012,Petrol,30000,224999.0
177,Ford Fiesta,Ford,2011,Diesel,55000,274999.0
178,Honda Amaze,Honda,2013,Diesel,46000,284999.0
179,Honda City,Honda,2015,Diesel,30000,599999.0
180,Maruti Suzuki Wagon R,Maruti,2012,Petrol,44000,199999.0
181,Honda City,Honda,2014,Diesel,45000,544999.0
182,Hyundai i20,Hyundai,2009,Petrol,31000,199000.0
183,Tata Indigo eCS LX TDI BS III,Tata,2016,Diesel,175430,320000.0
184,Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,Diesel,38000,540000.0
186,Mahindra Quanto C8,Mahindra,2013,Diesel,37000,340000.0
187,Fiat Petra ELX 1.2 PS,Fiat,2008,Petrol,65000,75000.0
188,Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,Diesel,38200,159500.0
189,Mini Cooper S 1.6,Mini,2013,Petrol,13000,1891111.0
190,Hyundai Santro Xing XS,Hyundai,2005,Petrol,7500,49000.0
191,Maruti Suzuki Ciaz VXi Plus,Maruti,2016,Petrol,3350,700000.0
192,Maruti Suzuki Zen VX,Maruti,2000,Petrol,60000,55000.0
193,Honda City,Honda,2015,Petrol,54000,448999.0
194,Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2017,Petrol,32000,895000.0
196,Mahindra Scorpio SLX,Mahindra,2007,Diesel,75000,355000.0
197,Mahindra Scorpio SLE BS IV,Mahindra,2012,Diesel,62000,565000.0
198,Toyota Innova 2.5 G BS III 8 STR,Toyota,2006,Diesel,73000,365000.0
199,Maruti Suzuki Alto K10 VXi AMT,Maruti,2011,Petrol,41000,145000.0
200,Maruti Suzuki Wagon R LXI BS IV,Maruti,2011,Petrol,35000,210000.0
201,Tata Nano Cx BSIV,Tata,2013,Petrol,2200,40000.0
202,Maruti Suzuki Alto Std BS IV,Maruti,2013,Petrol,39000,125000.0
203,Maruti Suzuki Wagon R LXi BS III,Maruti,2009,Petrol,45000,135000.0
204,Maruti Suzuki Swift VXI BSIII,Maruti,2006,Petrol,45000,135000.0
205,Tata Sumo Victa EX 10 by 7 Str BSIII,Tata,2012,Diesel,65000,285000.0
207,Maruti Suzuki Wagon R LXi BS III,Maruti,2010,Petrol,54870,145000.0
208,Maruti Suzuki Alto LXi BS III,Maruti,2010,Petrol,34580,135000.0
209,Volkswagen Passat Diesel Comfortline AT,Volkswagen,2009,Diesel,97000,450000.0
210,Renault Scala RxL Diesel Travelogue,Renault,2015,Diesel,25000,375000.0
211,Mahindra Quanto C8,Mahindra,2013,Diesel,20000,375000.0
212,Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,Petrol,20000,365000.0
213,Hyundai i20 Active 1.2 SX,Hyundai,2015,Petrol,18000,500000.0
214,Mahindra Xylo E4,Mahindra,2012,Diesel,35000,400000.0
215,Mahindra Jeep MM 550 XDB,Mahindra,2019,Diesel,60,390000.0
216,Renault Duster 110PS Diesel RxZ,Renault,2012,Diesel,35000,501000.0
217,Mahindra Bolero SLE BS IV,Mahindra,2013,Diesel,80200,330000.0
218,Force Motors Force One LX ABS 7 STR,Force,2015,Diesel,3200,580000.0
219,Maruti Suzuki SX4,Maruti,2012,Diesel,46000,265000.0
220,Mahindra Jeep CL550 MDI,Mahindra,2019,Diesel,0,379000.0
221,Maruti Suzuki Alto 800,Maruti,2015,Petrol,5000,219000.0
222,Mahindra Jeep CL550 MDI,Mahindra,2018,Diesel,588,385000.0
223,Toyota Etios,Toyota,2011,Diesel,36000,275000.0
224,Volkswagen Polo,Volkswagen,2015,Diesel,38000,330000.0
225,Honda City ZX VTEC,Honda,2008,Petrol,45000,110000.0
226,Maruti Suzuki Wagon R LX BS III,Maruti,2006,Petrol,71200,80000.0
227,Honda City VX O MT Diesel,Honda,2016,Diesel,52000,519000.0
228,Mahindra Thar CRDe 4x4 AC,Mahindra,2016,Diesel,29000,730000.0
229,Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,Diesel,47000,1475000.0
230,Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,Petrol,47000,699000.0
231,Mercedes Benz GLA Class 200 CDI Sport,Mercedes,2015,Diesel,20000,2000000.0
232,Land Rover Freelander 2 SE,Land,2015,Diesel,30000,2100000.0
233,Renault Kwid RXT,Renault,2017,Petrol,5000,340000.0
234,Tata Aria Pleasure 4X2,Tata,2014,Diesel,35000,390000.0
235,Mercedes Benz B Class B180 Sports,Mercedes,2014,Petrol,31000,1400000.0
236,Datsun GO T O,Datsun,2016,Petrol,7000,245000.0
237,Tata Indigo eCS LX TDI BS III,Tata,2016,Diesel,175430,320000.0
238,Tata Indigo eCS LX TDI BS III,Tata,2016,Diesel,175400,320000.0
239,Honda Jazz VX MT,Honda,2016,Petrol,41000,450000.0
240,Honda Amaze 1.2 S i VTEC,Honda,2014,Petrol,33000,311000.0
241,Honda Amaze,Honda,2013,Diesel,46000,284999.0
242,Honda City,Honda,2012,Petrol,45000,399999.0
243,Honda City,Honda,2015,Diesel,39000,599999.0
244,Honda Amaze,Honda,2015,Petrol,22000,344999.0
245,Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,Petrol,47000,699000.0
246,Force Motors Force One LX ABS 7 STR,Force,2015,Diesel,3200,580000.0
247,Mahindra Scorpio S4,Mahindra,2015,Diesel,30000,855000.0
248,Hyundai i20 Active 1.4L SX O,Hyundai,2015,Diesel,37000,535000.0
249,Mini Cooper S,Mini,2013,Petrol,13000,1891111.0
250,Maruti Suzuki Ciaz ZXI Plus,Maruti,2017,Petrol,14000,699000.0
251,Chevrolet Tavera Neo,Chevrolet,2013,Diesel,55000,375000.0
252,Honda Amaze,Honda,2013,Diesel,46000,284999.0
253,Hyundai Eon Sportz,Hyundai,2012,Petrol,30000,178000.0
254,Tata Sumo Gold Select Variant,Tata,2013,Diesel,50000,300000.0
255,Maruti Suzuki Wagon R 1.0,Maruti,2003,Petrol,45000,90000.0
256,Maruti Suzuki Esteem VXi BS III,Maruti,2006,Petrol,45000,95000.0
257,Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,Petrol,9300,255000.0
258,Chevrolet Enjoy 1.4 LS 8 STR,Chevrolet,2013,Diesel,55000,245000.0
259,Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,Diesel,36200,329500.0
260,Ford Figo Diesel EXI,Ford,2014,Diesel,50000,195000.0
261,Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,Petrol,55000,251111.0
262,Maruti Suzuki Ertiga ZXi,Maruti,2014,Petrol,45000,569999.0
263,Maruti Suzuki Esteem LXi BS III,Maruti,2007,Petrol,51000,69999.0
264,Maruti Suzuki Ritz VXI,Maruti,2014,Petrol,19000,299999.0
265,Maruti Suzuki Dzire,Maruti,2009,Petrol,46000,220000.0
266,Maruti Suzuki Ritz LDi,Maruti,2013,Diesel,33000,399999.0
267,Maruti Suzuki SX4 ZXI MT,Maruti,2010,Petrol,36000,249999.0
268,Maruti Suzuki Wagon R 1.0 VXi,Maruti,2015,Petrol,22000,289999.0
269,Mini Cooper S 1.6,Mini,2013,Petrol,13500,1891111.0
270,Nissan Terrano XL D Plus,Nissan,2015,Diesel,60000,499999.0
271,Renault Duster 85 PS RxE Diesel,Renault,2013,Diesel,27000,489999.0
272,Renault Duster 85 PS RxE Diesel,Renault,2014,Diesel,59000,489999.0
273,Renault Duster 85 PS RxL Diesel,Renault,2015,Diesel,19000,549999.0
274,Maruti Suzuki Dzire ZXI,Maruti,2013,Petrol,30000,380000.0
275,Renault Kwid RXT Opt,Renault,2018,Petrol,15000,325000.0
276,Maruti Suzuki Maruti 800 Std,Maruti,2003,Petrol,56758,57000.0
277,Renault Kwid 1.0 RXT AMT,Renault,2018,Petrol,10000,349999.0
278,Renault Lodgy 85 PS RXL,Renault,2018,Diesel,20000,689999.0
279,Renault Scala RxL Diesel,Renault,2014,Diesel,49000,349999.0
280,Hyundai Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014,Petrol,41000,410000.0
281,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,Petrol,45000,225000.0
282,Chevrolet Beat LS Petrol,Chevrolet,2010,Petrol,43000,120000.0
283,Tata Indigo eCS LX TDI BS III,Tata,2016,Diesel,175430,320000.0
284,Hyundai Santro Xing XO eRLX Euro III,Hyundai,2000,Petrol,56450,59000.0
285,Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,Diesel,38000,540000.0
287,Chevrolet Beat LS Petrol,Chevrolet,2010,Petrol,56000,80000.0
288,Mahindra Quanto C8,Mahindra,2013,Diesel,37000,340000.0
289,Fiat Petra ELX 1.2 PS,Fiat,2008,Petrol,65000,75000.0
290,Chevrolet Beat LS Petrol,Chevrolet,2015,Petrol,32700,220000.0
291,Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,Diesel,38200,159500.0
292,Ford EcoSport Titanium 1.5L TDCi,Ford,2016,Diesel,30000,599000.0
293,Hyundai Accent GLX,Hyundai,2006,Petrol,56000,80000.0
295,Maruti Suzuki Swift LDi,Maruti,2010,Diesel,52000,272500.0
296,Mahindra TUV300 T4 Plus,Mahindra,2016,Diesel,9000,675000.0
297,Mini Cooper S 1.6,Mini,2013,Petrol,13000,1891111.0
298,Mini Cooper S 1.6,Mini,2013,Petrol,13000,1891111.0
299,Tata Indica V2 Xeta e GLE,Tata,2008,Petrol,11000,150000.0
300,Mini Cooper S,Mini,2013,Petrol,13000,1891111.0
301,Tata Indigo CS LS DiCOR,Tata,2009,Diesel,46000,72500.0
302,Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2019,Petrol,73,610000.0
303,Mahindra Scorpio VLX Special Edition BS III,Mahindra,2004,Diesel,160000,230000.0
304,Tata Indica eV2 LS,Tata,2017,Diesel,84000,95250.0
305,Honda Accord,Honda,2009,Petrol,58559,175000.0
306,Mahindra Scorpio S4,Mahindra,2015,Diesel,30000,855000.0
307,Chevrolet Tavera Neo,Chevrolet,2013,Diesel,55000,375000.0
308,Ford EcoSport Titanium 1.5 TDCi,Ford,2014,Diesel,57000,520000.0
309,Maruti Suzuki Ertiga,Maruti,2015,Diesel,50000,524999.0
310,Honda Amaze,Honda,2014,Petrol,37000,299999.0
311,Maruti Suzuki Dzire,Maruti,2012,Petrol,40000,299999.0
312,Honda City,Honda,2011,Petrol,55000,284999.0
313,Mahindra Scorpio 2.6 CRDe,Mahindra,2007,Diesel,170000,220000.0
314,Maruti Suzuki Dzire,Maruti,2014,Diesel,55000,424999.0
315,Honda City,Honda,2015,Petrol,39000,644999.0
316,Honda Mobilio,Honda,2014,Petrol,44000,399999.0
317,Toyota Corolla Altis,Toyota,2009,Petrol,65000,199999.0
318,Honda City,Honda,2014,Petrol,39000,584999.0
319,Skoda Laura,Skoda,2012,Diesel,44000,349999.0
320,Renault Duster,Renault,2015,Diesel,49000,449999.0
321,Maruti Suzuki Ertiga,Maruti,2018,Diesel,9000,799999.0
322,Maruti Suzuki Dzire,Maruti,2015,Diesel,45000,444999.0
323,Mahindra XUV500,Mahindra,2014,Diesel,47000,649999.0
324,Hyundai Verna Fluidic,Hyundai,2012,Diesel,40000,444999.0
325,Maruti Suzuki Vitara Brezza,Maruti,2016,Diesel,29000,689999.0
326,Maruti Suzuki Wagon R,Maruti,2016,Petrol,15000,344999.0
327,Mahindra Scorpio,Mahindra,2015,Diesel,45000,944999.0
328,Honda Amaze,Honda,2014,Petrol,35000,274999.0
329,Mahindra XUV500,Mahindra,2013,Diesel,80000,689999.0
330,Mahindra Scorpio,Mahindra,2013,Diesel,68000,574999.0
331,Skoda Laura,Skoda,2013,Diesel,50000,374999.0
332,Volkswagen Polo,Volkswagen,2010,Diesel,60000,199999.0
333,Hyundai Elite i20,Hyundai,2016,Petrol,9000,549999.0
334,Tata Manza Aura Quadrajet,Tata,2012,Diesel,72000,130000.0
335,Chevrolet Sail UVA Petrol LT ABS,Chevrolet,2013,Petrol,60000,210000.0
336,Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,Diesel,38000,501000.0
337,Hyundai Verna Fluidic 1.6 VTVT SX,Hyundai,2013,Diesel,45000,401000.0
338,Audi A4 2.0 TDI 177bhp Premium,Audi,2012,Diesel,40000,1350000.0
339,Hyundai Elantra SX,Hyundai,2013,Petrol,20000,600000.0
340,Mahindra Scorpio VLX 4WD Airbag,Mahindra,2013,Diesel,35000,610000.0
341,Mahindra KUV100 K8 D 6 STR,Mahindra,2016,Diesel,20000,400000.0
342,Renault Scala RxL Diesel Travelogue,Renault,2015,Diesel,25000,375000.0
343,Mahindra Quanto C8,Mahindra,2013,Diesel,20000,375000.0
344,Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,Petrol,20000,365000.0
345,Hyundai i20 Active 1.2 SX,Hyundai,2015,Petrol,18000,500000.0
346,Mahindra Xylo E4,Mahindra,2012,Diesel,35000,400000.0
347,Hyundai Grand i10,Hyundai,2017,Petrol,6821,524999.0
348,Hyundai i20,Hyundai,2014,Petrol,23000,449999.0
349,Hyundai Eon,Hyundai,2014,Petrol,14000,174999.0
350,Hyundai i10,Hyundai,2012,Petrol,38000,244999.0
351,Hyundai i20 Active,Hyundai,2015,Diesel,35000,574999.0
352,Datsun Redi GO,Datsun,2017,Petrol,22000,244999.0
353,Toyota Etios Liva,Toyota,2011,Petrol,41000,239999.0
354,Hyundai Accent,Hyundai,2010,Petrol,45000,99999.0
355,Hyundai Verna,Hyundai,2014,Diesel,44000,489999.0
356,Maruti Suzuki Swift,Maruti,2013,Diesel,45000,324999.0
357,Toyota Fortuner,Toyota,2011,Diesel,52000,1074999.0
358,Hyundai i10 Sportz,Hyundai,2012,Petrol,34000,230000.0
359,Mahindra Bolero Power Plus SLE,Mahindra,2018,Diesel,1800,699000.0
361,Mahindra XUV500,Mahindra,2015,Diesel,15000,1000000.0
